X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,,FeatureType,,ActivityText,EstAllocation,EstMethod,MaxRate,MaxVolume,consecDays,NZTMX,NZTMY
1403885.069,5026896.018,CRC084382,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,78840,,2.5,1512,7,1403885,5026896
1573301.731,5256860.674,CRC144371,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,5721230,,600,51840,1,1573301,5256860
1612103.133,5297243.069,CRC155750,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,75000,,4.6,,,1612103,5297243
1602533.473,5276110.777,CRC090297,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,59346,,5,280,1,1602533,5276110
1489833.853,5117395.446,CRC952205,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,268812,,45,68040,35,1489833,5117395
1488102.803,5122533.931,CRC050915.3,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,785966,,70,40572,7,1488102,5122533
1616958.268,5277318.545,CRC150375,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,203967,,20,,,1616958,5277318
1562702.277,5202180.01,CRC990564.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,162131,,15,16632,14,1562702,5202180
1419862.496,5121870.972,CRC130233,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,161663,,12,1027,1,1419862,5121870
1391832.323,5126568.054,CRC171755,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,3658176,,116,70000,7,1391832,5126568
1365433.945,5098452.16,CRC952269,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,106354,,230,26496,31,1365433,5098452
1494022.261,5225574.868,CRC990391,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,0,,2.5,216,1,1494022,5225574
1440709.232,5118081,CRC992621.1,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,0,,2.8,900,7,1440709,5118080
1466242.513,5102690.473,CRC153403,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,569564,,65,67392,12,1466242,5102690
1455593.861,5131775.531,CRC173644,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,19776960,,1526,,,1455593,5131775
