,RecordNo,ActivityType,WaterUse,IrrigationOf,PrimaryIrrigationType,IrrigatedAreaHa,MaxRateLs,VolumeM3,ConsecutiveDayPeriod
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC155611,Use Groundwater,Irrigation,Pasture,Spray,530.0,307.0,,
0,CRC150205,Use Groundwater,Irrigation,Pasture,Spray,215.0,125.0,10800.0,1.0
0,CRC155611,Use Groundwater,Irrigation,Pasture,Spray,530.0,307.0,,
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC150205,Use Groundwater,Irrigation,Pasture,Spray,215.0,125.0,10800.0,1.0
0,CRC150205,Use Groundwater,Irrigation,Pasture,Spray,215.0,125.0,10800.0,1.0
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC143130,Use Groundwater,Domestic Use,,,,174.0,,
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC131494,Use Groundwater,Irrigation,Pasture,Spray,200.0,126.0,10886.0,1.0
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC131494,Use Groundwater,Irrigation,Pasture,Spray,200.0,126.0,10886.0,1.0
0,CRC151819,Use Groundwater,Irrigation,Pasture,Spray,165.0,96.0,8250.0,1.0
0,CRC151819,Use Groundwater,Irrigation,Pasture,Spray,165.0,96.0,8250.0,1.0
0,CRC150205,Use Groundwater,Irrigation,Pasture,Spray,215.0,125.0,10800.0,1.0
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC155287,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,76990.0,7.0
0,CRC142128,Use Groundwater,Irrigation,Pasture,Spray,202.0,125.0,118800.0,12.0
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC151819,Use Groundwater,Irrigation,Pasture,Spray,165.0,96.0,8250.0,1.0
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC155611,Use Groundwater,Irrigation,Pasture,Spray,530.0,307.0,,
0,CRC151819,Use Groundwater,Irrigation,Pasture,Spray,165.0,96.0,8250.0,1.0
0,CRC144575,Use Groundwater,Irrigation,Pasture,Spray,241.72,135.0,,
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC143436,Use Groundwater,Irrigation,Pasture,Spray,270.0,156.5,68780.0,5.0
0,CRC164167,Use Groundwater,Irrigation,Pasture,Spray,40.0,30.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC167204,Use Groundwater,Irrigation,Pasture,Spray,298.0,186.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC164167,Use Groundwater,Irrigation,Pasture,Spray,40.0,30.0,,
0,CRC167204,Use Groundwater,Irrigation,Pasture,Spray,298.0,186.0,,
0,CRC162186,Use Groundwater,Irrigation,Pasture,Spray,247.0,170.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC164167,Use Groundwater,Irrigation,Pasture,Spray,40.0,30.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC164167,Use Groundwater,Irrigation,Pasture,Spray,40.0,30.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC167204,Use Groundwater,Irrigation,Pasture,Spray,298.0,186.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC162186,Use Groundwater,Irrigation,Pasture,Spray,247.0,170.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
