X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,FeatureType,ActivityText,FileNo,MaxRate,MaxVolume,ReturnPeriodDays,EffectiveAnnualVolume,FullEffectiveAnnualVolume,ConsentedAnnualVolume,NZTMX,NZTMY
1548229.493,5169063.015,CRC010116,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/00796,5.5,4277,12,60500,60500,0,1548229,5169063
1494652.995,5147996.177,CRC144494,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC144494,53,15000,7,218771,218771,218771,1494652,5147996
1464245.522,5095290.639,CRC050196,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/09849,45.5,19656,7,63180,252720,252720,1464245,5095290
1537098.872,5172481.013,CRC154740,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC154740,38,26266,8,418203,418203,0,1537098,5172481
1496464.794,5136417.021,CRC174173,Water Permit (s14),Part Surrender,Issued - Active,Water Take/Use,Take Groundwater,CRC174173,19.8,576,1,26000,26000,0,1496464,5136417
1558872.97,5181920.13,CRC971155,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/01081,0.3,60,7,3608,14430,0,1558872,5181920
1515173.772,5133257.746,CRC950590,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/05421,37.5,3240,1,470231,470231,0,1515173,5133257
1514098.796,5129867.482,CRC961154.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/23346,50,4320,1,669632,669632,0,1514098,5129867
1530140.899,5173453.167,CRC010872.1,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/01663,53,58776,14,628189,628189,628189,1530140,5173453
1494066.482,5146300.651,CRC154547,Water Permit (s14),Part Transfer Site2Site (W),Issued - Active,Water Take/Use,Take Groundwater,CRC154547,100,8640,1,569500,670000,670000,1494066,5146300
1575578.868,5231358.237,CRC020061,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/18407,2.5,216,1,45260,45260,0,1575578,5231358
1471350.71,5102994.244,CRC176568,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC176568,75.3,43246,7,774527,911208,911208,1471350,5102994
1465929.269,5112382.174,CRC082926.3,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/30660,96,7517,1,817021,817021,817021,1465929,5112382
1546463.54,5177050.206,CRC010760.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/24909,6,2768,21,21626,21626,0,1546463,5177050
1410976.282,5023808.267,CRC131007,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC131007,12,10368,10,144300,144300,144300,1410976,5023808
1568500.288,5207178.124,CRC941349.2,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/27207,7.6,1020,15,13263,13263,0,1568500,5207178
1565340.311,5198738.203,CRC991827,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/10610,45.6,3612,1,113536,454142,0,1565340,5198738
1566340.058,5187169.415,CRC101643,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/30598,5,108,1,14580,16200,16200,1566340,5187169
1510180.295,5142611.226,CRC050390,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/19895,68.5,65102,11,575000,575000,575000,1510180,5142611
1557263.164,5198275.417,CRC930966.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/09488,10,3034,7,66821,66821,0,1557263,5198275
1550262.171,5178575.915,CRC153138,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC153138,5.3,684,30,7290,7290,0,1550262,5178575
1454534.389,5067217.279,CRC136602,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC136602,22.5,22680,15,195608,195608,0,1454534,5067217
1570663.486,5206563.302,CRC141305,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC141305,18,1426,1,216740,216740,0,1570663,5206563
1405675.913,5036741.646,CRC180549,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CRC180549,25,2160,1,174848,174848,174848,1405675,5036741
1463489.462,5112658.373,CRC970531,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/12208,30,5400,7,67238,67238,0,1463489,5112658
1466046.579,5114527.952,CRC021197,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/18680,170.4,,,1458898,1458898,0,1466046,5114527
1576828.42,5231379.155,CRC150657,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC150657,3,259,1,7300,7300,7300,1576828,5231379
1550207.043,5181446.947,CRC173215,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC173215,4,87,1,13000,13000,0,1550207,5181446
1493741.051,5133295.103,CRC001400.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/14072,20,6912,7,93599,93599,93599,1493741,5133295
1561752.857,5183636.605,CRC970715.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/12350,18.8,677,7,14539,14539,0,1561752,5183636
1537672.169,5166770.865,CRC010033.1,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/01001,23,20865,28,105210,105210,105210,1537672,5166770
1479967.892,5113421.344,CRC150958,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC150958,115,119232,14,165217,660867,0,1479967,5113421
1560231.135,5200521.619,CRC167802,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC167802,5,94,1,10950,10950,10950,1560231,5200521
1480484.094,5197590.071,CRC991051,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/03647,3.5,101,1,15150,15150,0,1480484,5197590
1555923.624,5200427.684,CRC940098,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/03913,3,1512,7,32784,32784,0,1555923,5200427
1494205.742,5129817.95,CRC172986,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC172986,8,432,1,59678,59678,59678,1494205,5129817
1562858.836,5160046.529,CRC173867,Water Permit (s14),Part Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC173867,18,4903,7,111000,111000,111000,1562858,5160046
1560724.216,5165653.201,CRC961466,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/10886,10,2160,7,49941,49941,0,1560724,5165653
1560112.525,5181793.219,CRC971172.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/12557,1.8,19,1,1942,7767,0,1560112,5181793
1547852.541,5158797.558,CRC000130.1,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/11594,14,1159,1,58519,117038,117038,1547852,5158797
1554048.633,5183303.475,CRC970756,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/12395,2,180,7,7177,7177,0,1554048,5183303
1495959.205,5134993.225,CRC040705.3,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/26644,4.4,760,8,10848,10848,0,1495959,5134993
1574901.032,5176986.562,CRC971007,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/00208,44,26611,7,1383772,1383772,0,1574901,5176986
1460041.982,5118688.719,CRC173562,Water Permit (s14),Part Surrender,Issued - Active,Water Take/Use,Take Groundwater,CRC173562,5,3010,7,65000,65000,,1460041,5118688
1451059.567,5067487.413,CRC920689,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/07513,63,34927,7,689892,689892,0,1451059,5067487
1532712.11,5173822.261,CRC012438.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/15325,43,21773,7,471250,471250,471250,1532712,5173822
1469707.647,5106732.14,CRC061261,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/24227,78,47174,7,838480,838480,838480,1469707,5106732
1456375.077,5098487.228,CRC151757,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC151757,70,6048,1,,,,1456375,5098487
1522540.224,5171267.151,CRC010854.1,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/17339,5,1080,10,20940,20940,20940,1522540,5171267
1452822.732,5063165.776,CRC050968.2,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/24427,100,60480,7,1635200,1635200,1635200,1452822,5063165
1453346.483,5056409.79,CRC132490,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC132490,42,48686,14,442623,442623,0,1453346,5056409
1451495.769,5097735.433,CRC991559,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/15381,10,5292,14,50847,50847,0,1451495,5097735
1533314.291,5159292.782,CRC980935.3,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/18782,1.3,108,1,14213,14213,14213,1533314,5159292
1584401.595,5264183.075,CRC176479,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC176479,19,10500,14,110500,110500,0,1584401,5264183
1552507.571,5162130.818,CRC012057.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/22180,26,20592,10,60432,241728,0,1552507,5162130
1451196.685,5061711.02,CRC050261.3,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/17151,58,5011,1,665160,665160,665160,1451196,5061711
1498755.323,5136228.545,CRC011116,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/17421,1.3,716,9,11314,11314,0,1498755,5136228
1527032.827,5160948.384,CRC156815,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC156815,90,7783,1,415300,415300,415300,1527032,5160948
1549058.23,5168781.177,CRC032257,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/30341,8,346,1,60500,60500,0,1549058,5168781
1571658.975,5192650.427,CRC960538,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/09879,10,288,1,104832,104832,0,1571658,5192650
1462880.448,5109828.485,CRC171680,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC171680,6,389,21,39000,39000,0,1462880,5109828
1461548.046,5089790.18,CRC951474,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/07449,12,6220,28,29573,29573,0,1461548,5089790
1540730.671,5173189.07,CRC960786,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/10102,10.6,458,1,70154,70154,0,1540730,5173189
1461265.085,5089773.063,CRC012162.5,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/20684,35,8479,7,141949,141949,0,1461265,5089773
1544160.842,5158564.245,CRC010534.2,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/00211,55.4,41882,14,383817,383817,383817,1544160,5158564
1562501.881,5161225.037,CRC010036.3,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/27481,18.9,700,1,53088,53088,53088,1562501,5161225
1559668.582,5184608.199,CRC145750,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC145750,13.6,2448,7,58155,58155,0,1559668,5184608
1462818.076,5110981.34,CRC991858,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/15571,22,9662,10,0,82180,0,1462818,5110981
1542758.349,5168850.641,CRC990720.2,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/15040,10,6048,7,145757,145757,0,1542758,5168850
1549457.429,5178861.775,CRC981542,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/14338,5,1440,7,36048,36048,0,1549457,5178861
1533314.291,5159292.782,CRC063770.2,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/25221,3.8,324,1,42639,42639,42639,1533314,5159292
